condition,condition_name,horizon,position_rmse,penetration_rate,density_relative_error,energy_excess_per_particle
A,SWE-only,32,0.44679518921529865,0.05965243492113565,0.7074439141963538,3.174229478666064
B,GNN-only,32,0.021167303982234504,0.09739548426574372,0.2060176957259204,0.016418225837476322
C,Reversed,32,0.02912622350791001,0.14699187539728983,0.17080356431455393,0.031500788543880234
D,Ours,32,0.03159656081021754,0.1657119814178921,0.15154314797456844,0.09681138915103316
E,Baseline-GNS,32,0.023239716954016863,0.13532788528103487,0.20796010077699126,0.020272228452894423
F,Simple-3D,32,0.08809341587928227,0.1711686713779507,0.14863223612581866,0.0977606551319945
G,Optimized-Ours,32,0.03146399926180208,0.1595283334227094,0.14929213954315068,0.09532154275771769
