condition,condition_name,scene_group,horizon,trajectory_count,position_rmse,position_rmse_ci95_low,position_rmse_ci95_high,velocity_rmse,velocity_rmse_ci95_low,velocity_rmse_ci95_high,penetration_rate,penetration_rate_ci95_low,penetration_rate_ci95_high,density_relative_error,density_relative_error_ci95_low,density_relative_error_ci95_high,momentum_error_per_particle,momentum_error_per_particle_ci95_low,momentum_error_per_particle_ci95_high,horizontal_momentum_error_per_particle,horizontal_momentum_error_per_particle_ci95_low,horizontal_momentum_error_per_particle_ci95_high,surface_height_rmse,surface_height_rmse_ci95_low,surface_height_rmse_ci95_high,energy_excess_per_particle,energy_excess_per_particle_ci95_low,energy_excess_per_particle_ci95_high
B,GNN-only,complex,32,33,0.01270740812249256,0.010320265110314005,0.016127799088347026,0.0008803816868528498,0.0006653824744827227,0.0012364774759176219,0.07696180458293807,0.06384450393372253,0.09514707296207703,0.1472190268563502,0.13297744022512978,0.16224569257235888,0.0009592863401242843,0.0006763344964852106,0.0013894848327309416,0.0008584143272883287,0.000582548871016391,0.0012906638579972256,0.028717303987253796,0.020692571468481965,0.04240829533347012,0.00016703027667421284,0.0,0.0005010908300226384
B,GNN-only,complex,100,33,0.09427311214985269,0.08096785890785131,0.11126831258562477,0.0021960707804696126,0.0019632247455636832,0.002463667167467065,0.3256575458505451,0.3052829458948885,0.3483582334083949,1.2239847381909688,1.0798669647538301,1.37836540016261,0.0016367595455835037,0.0014059902049749244,0.0018727555376244706,0.0015519884619800105,0.0013081927197438773,0.0017980645342890276,0.07855272586598541,0.0695204911301985,0.08918049189854751,0.008393930666374437,0.0,0.025181791999123314
B,GNN-only,quiet,1,34,1.8366715989138946e-05,1.7226401789283797e-05,1.9580573209222006e-05,1.8366710478671047e-05,1.719245639151268e-05,1.9580205928511584e-05,0.02106175807337418,0.016820988870399598,0.025812641858700365,0.0002786689921562998,0.0002642382647001582,0.00029165466351996117,9.9728694803001e-06,7.693308614708417e-06,1.273812958820198e-05,9.190179368675564e-06,6.996132225785513e-06,1.2027480851001574e-05,0.00025054465204983205,0.00013928525285243322,0.0003741360328597372,2.8049244600183823e-08,0.0,8.414773380055148e-08
B,GNN-only,quiet,8,34,0.0005509070101919968,0.0004971973507909913,0.0006214137233173995,0.00012978892567951013,0.00011591216640119776,0.00014747347267984878,0.023468028494895654,0.019188153206519423,0.027806013330268976,0.006687520921011181,0.006333921531982281,0.007076250092016862,0.00011623557571403901,9.303527662643104e-05,0.00014540188654952062,0.0001041455267541631,8.103639958977403e-05,0.0001349814403845491,0.00374898334763095,0.003067694557894891,0.004781688053438248,0.0,0.0,0.0
B,GNN-only,quiet,16,34,0.0024015671327052746,0.001945250244170893,0.0031545556088745153,0.00035388337966972306,0.0002389888588047196,0.0005602827089152176,0.046473555410587855,0.03903515076893192,0.05605514948397981,0.026860598146038896,0.024948581147884185,0.028905905650325994,0.0003260498971726252,0.00021445964731516568,0.0005101087229805296,0.00029267492407277184,0.00017938197974458223,0.00048158115953222415,0.007910903159748106,0.006460950849577785,0.00994019243516959,0.0,0.0,0.0
B,GNN-only,quiet,32,34,0.010085887166068834,0.007447206487481975,0.014874048730331088,0.0006441483744899469,0.00044774478810722935,0.000975212510649512,0.0984008454860941,0.07668075826110769,0.13424960713319808,0.11440994765828638,0.0998990687651231,0.13522407937904488,0.0007176867443109479,0.0004847888072082937,0.0011235532774769713,0.0006031076715290136,0.00037870509054568284,0.0009769948612569457,0.021919543663149372,0.014793536811382235,0.03445909460321726,0.0,0.0,0.0
B,GNN-only,quiet,100,34,0.06927309448228162,0.057100593882119834,0.0865859351093497,0.0015512859681621194,0.0013538714004372357,0.0017945034946451948,0.29001159992037556,0.26953862465962236,0.306949430025868,0.9066659229643205,0.7748570765861694,1.05518343935118,0.0013062620615956427,0.0010881366833928041,0.0015716596189817853,0.0012256798611762112,0.0009979415516093416,0.0015059906029123605,0.07830632017815814,0.06567117535399603,0.09772543558741316,0.05624386142281925,0.0,0.16873158426845775
B,GNN-only,violent,1,33,0.00022821332188896397,0.00015265030766441312,0.00031503173286733774,0.0002282133101482142,0.00015825318204213434,0.0003143029195433138,0.0770498299149828,0.061972153537035925,0.09439848637380165,0.0016090406297183963,0.0012047902286267897,0.0020314425553255152,3.133788138918383e-05,1.875594435749449e-05,4.9857380276714104e-05,2.8000899226643732e-05,1.5800953090402717e-05,4.484142727840138e-05,0.01188871876057061,0.006833246228741314,0.017822310884499027,3.812529823996804e-05,1.4051343455459133e-05,6.850686940279873e-05
B,GNN-only,violent,8,33,0.004748119267098831,0.0033032366430041185,0.006585567955114654,0.0010061937289058485,0.000691285787174958,0.0013655716953838814,0.06920779926486618,0.05746397744140353,0.08342051185103885,0.041220484414335457,0.03150539003510141,0.05130879625141845,0.0004456517862942719,0.0002615790232911505,0.0007003799854635761,0.00038091055852639715,0.00021185030515852939,0.0006188544045444083,0.07181532997073549,0.04964518323999294,0.09724732898916541,0.0027328151645082416,0.0008377357865824843,0.005358326886639449
B,GNN-only,violent,16,33,0.01414731355158217,0.010284832486826363,0.018611830344536534,0.0015542299555487591,0.001174396539444746,0.002026104915509649,0.07568812958427229,0.06183896950424436,0.09245172141291781,0.12951388018149318,0.10306878190374735,0.15838982229487913,0.0009511674544421222,0.0006353179775032914,0.0013279720052995604,0.0008017042713838622,0.0005023847082639171,0.001181447125699461,0.10733257846511675,0.07804940626815413,0.13997291356861363,0.013904593207619408,0.003616145524111661,0.02620203802079864
B,GNN-only,violent,32,33,0.04070861665814212,0.031149452783618914,0.05186980498009219,0.0022934166763937383,0.001837520247058957,0.0027868564753038244,0.11682380272819899,0.09224031139433159,0.1477815207387925,0.35642411266312457,0.3000948399869781,0.4224155768300547,0.0018231733534555656,0.0013797374496679173,0.002323777255117999,0.0015605543976011122,0.0011377305193794502,0.002047257160390445,0.13725793446329507,0.10846593988297339,0.1685920684386722,0.04908764723575476,0.012988501606565533,0.09351483348644138
B,GNN-only,violent,100,33,0.18275260360855045,0.16153495374954108,0.20488951973278413,0.0037887812712032237,0.0034481809104115447,0.004156588087966101,0.35373868642696005,0.3224901826637907,0.38388975913040474,1.1112199059941552,0.9575119193078894,1.2672388384739557,0.0028406442319409866,0.0023934437457655525,0.0033547668036066386,0.002335947252118565,0.001917413047031556,0.002826373857026214,0.14998408497282953,0.12146421034227718,0.18090951148081907,0.08854529713139389,0.016909691420468418,0.1896626952922705
C,Reversed,complex,1,33,5.3724000556967717e-05,4.305429540360792e-05,6.603750173739668e-05,5.3724057138562344e-05,4.269192199761605e-05,6.466813468002576e-05,0.026454928831026486,0.021452525867675275,0.03196689973500504,0.00035377580989557884,0.0003152971933917742,0.0003906619081107871,3.070475903851647e-05,2.520225950051595e-05,3.654259545831364e-05,3.017447952033487e-05,2.421320426237523e-05,3.5762047103947805e-05,0.0008618425533423954,0.0006388938611687053,0.0010948830430289958,1.0067766362970525e-05,3.3089608857125947e-06,1.822791316292501e-05
C,Reversed,complex,8,33,0.0011425188700245185,0.0009939022183640522,0.001281608915164587,0.0002385381876868478,0.0002085444678882733,0.00026853931145579376,0.02956376377809726,0.025168186157417203,0.03393497494379368,0.007322675329774167,0.00632101160696369,0.008276874870485201,0.0002497042396774332,0.0002013816490558163,0.00029455215883376,0.00024489258689617134,0.00020008255067185734,0.00028790546304910755,0.006126757739394,0.005372901335111678,0.006823174508859996,0.00015628699100378788,4.622475667433305e-05,0.00029576709776213666
C,Reversed,complex,16,33,0.003898366604875209,0.003407790389345874,0.004403480985484114,0.00045232299078524,0.0003937261668342575,0.0005118632762098445,0.040395147574094015,0.036195904738344234,0.04452588129542656,0.025509811627368133,0.022389555778918845,0.028878995716910466,0.0005050628789114963,0.00041841101190198747,0.00059065252921066,0.0004914407051701071,0.0004069205386699512,0.0005835110254944689,0.014757021245631304,0.010300465970949243,0.022931462446947326,0.0005795630541714755,0.00015334315372235848,0.001097934986605786
C,Reversed,complex,32,33,0.01578875303719983,0.012451083436396651,0.020482628088035255,0.001004756925712255,0.000748947776534778,0.0014331579104526265,0.08832000295495326,0.07465277401066786,0.1123945513121056,0.10283208536830815,0.08929343176158992,0.1174534536390142,0.0012438931188433235,0.0008641874109647082,0.0018330133470457935,0.0012142418259331448,0.0008419813737308494,0.0018198977573333787,0.024447785549317345,0.019154057510648713,0.03233337931574858,0.00193078951402144,0.00043511499058116566,0.00370630965088353
C,Reversed,complex,100,33,0.10774483068874388,0.08263835888073752,0.14533475135086152,0.0016116449048488655,0.0012419185867959944,0.002164266315803891,0.23341635105022301,0.1890879615365097,0.29322351086469783,0.6611389468113581,0.5869302134283564,0.7254780258983373,0.00216225694748573,0.0015875313533769892,0.003052315555550827,0.002139370898613847,0.0015683464947483807,0.003125633602614854,0.06486239069790552,0.05653710786648321,0.0734570929357274,0.009581648942196009,0.0002285747817068389,0.02631061284831076
C,Reversed,quiet,1,34,2.167705585687894e-05,1.9707562213464853e-05,2.3871099260224367e-05,2.1677120965999647e-05,1.9734612311260527e-05,2.3842783314996586e-05,0.0210025913686853,0.016797258597717336,0.026046506304123182,0.0002472319449546322,0.0002278091332728389,0.0002638531267460648,1.8213551430455802e-05,1.484997219600192e-05,2.1679815593997504e-05,1.797945337918517e-05,1.4566800078007283e-05,2.1305189279567406e-05,0.0003808826552492118,0.00024363826460504403,0.0005380029831498819,8.9722521164838e-06,3.123896963456098e-06,1.9161403179168703e-05
C,Reversed,quiet,8,34,0.0006105580225052751,0.0005339639211931225,0.0006914462096841924,0.000134428220703472,0.00011618230632580783,0.00015402082053697085,0.022461522570091545,0.01885826905615688,0.026147968891383197,0.004212676081806421,0.0037329219076234627,0.004736221815555302,0.00014299056773084244,0.00011721887645120767,0.0001710819088657444,0.0001380575245628493,0.00011080360991868206,0.00016481556891877143,0.004153756952077588,0.0034617919641759193,0.0049755842085099115,0.0002940682803883272,5.025723401237936e-05,0.0007270381731145519
C,Reversed,quiet,16,34,0.0025464303479940794,0.0019464407483824556,0.003433848649343845,0.00036306871034492576,0.00022853298315192875,0.0005949397467274513,0.03805161612733181,0.03343127606781804,0.04487115678376932,0.015726502436925385,0.013708740772734233,0.017867311712710516,0.0003741995702405214,0.00022725337205295492,0.0006303842289044575,0.00036024135170009686,0.00021175358231710777,0.0006116455469750422,0.007539042538744123,0.006516735337208956,0.008798126374056341,0.0010966658592224121,0.00015567681368659525,0.002832345226231742
C,Reversed,quiet,32,34,0.010738719062989248,0.007063779000857132,0.016757588842301625,0.0006742183404104948,0.00041900307834807525,0.0011193964406094677,0.09172386888284235,0.07271157003287351,0.12559201281518972,0.06162334365003249,0.05374695559799233,0.07043760348220958,0.0008075451726600638,0.0004311863606049241,0.0014917939368495033,0.0007571098685730249,0.0003745537021827391,0.0013997518961439389,0.018152564407928902,0.012241891486679805,0.02871084516552987,0.0010568008703344008,0.00026625482475056364,0.0020718099439845355
C,Reversed,quiet,100,34,0.06826659390593276,0.045167236557394706,0.1077937227756004,0.0010592581478276236,0.0007266782801974948,0.0016076478917110596,0.16493302774185656,0.129747091626922,0.22033560363254356,0.46223818379289966,0.4042978221988853,0.5246694676030208,0.0014293852719300263,0.0008884417273186366,0.0023525442172767186,0.00141777415153817,0.0008820064545087756,0.00224910496504248,0.046933849670869464,0.04153680202469011,0.05278181006091044,0.002482344122493968,0.0,0.0071436236886417166
C,Reversed,violent,1,33,0.0009007631795777178,0.0006416389339089317,0.00117394831881525,0.0009007631780343328,0.0006525511955535904,0.0011866699281723192,0.07870349554890817,0.06224466261639757,0.09606285486917891,0.005426338739749609,0.003790277537050177,0.007251616569489917,0.00034455189333212644,0.00020359108852282973,0.0005238315748515146,8.933096165547437e-05,6.066366933640838e-05,0.00012580378682039073,0.011575379184884669,0.006389818012328099,0.017449912553032236,0.0017703627095077977,0.0004363536834716797,0.003565770026409264
C,Reversed,violent,8,33,0.010034794146618382,0.007313402157866001,0.01283045544952267,0.0016865043302955614,0.0012438238380127586,0.0021621139476888907,0.0953598231910233,0.07560688154151314,0.11613680693256033,0.06405122552744368,0.04829169935123487,0.08160701992173651,0.001041292114126863,0.0006730137042309666,0.0014777208224007732,0.0007276526497056087,0.0004597458702681417,0.0010655098355169736,0.0654900965252609,0.04551033697401484,0.08735005361183235,0.02026228832476067,0.00521660889639999,0.04126227479992486
C,Reversed,violent,16,33,0.024354165561045662,0.01840280770415892,0.03108848707404721,0.0021877098911455973,0.001653243333258257,0.002768996354853064,0.14246183755535077,0.10810665883127542,0.17965952812805555,0.1573397736206199,0.12401869326660579,0.1953500507568771,0.0015548124228547695,0.0010827468309523255,0.002171074008947471,0.0012888667335959547,0.0008635643339595956,0.0018391970879306566,0.10103985977669556,0.07442412560763345,0.13217241362118248,0.044888449437690506,0.010271038250489669,0.09393555223941802
C,Reversed,violent,32,33,0.060851198423540954,0.047608673091356954,0.07614579481270274,0.0029175882298273573,0.0023249972019005905,0.0035701759020219355,0.2609317543540739,0.19635340743253063,0.32892408001211804,0.34795526392532117,0.2940947195345705,0.40200925755004085,0.0023647202743273792,0.0017790997063980975,0.003060222815441771,0.0021479760374252996,0.0016186127128259447,0.0028344152615208066,0.1420527913918098,0.10862339335832406,0.17711332705944324,0.09151477524728487,0.019186170534654098,0.19652262420365305
C,Reversed,violent,100,33,0.26503273065794597,0.21975378148314176,0.31573896085787,0.0039427424534082866,0.0033958365280837327,0.00454789218598638,0.6019661616854022,0.5257031230520155,0.6766849895509432,0.5433780045220347,0.45656411823901266,0.639658748403643,0.004309769913864632,0.003628464285760525,0.0049766815907787525,0.003769192085283893,0.003126385630832484,0.0043655512155524,0.18471092798493124,0.1460144170757496,0.22551772675166526,0.006101767222086589,0.0,0.018305301666259766
D,Ours,complex,1,33,4.263652077828407e-05,3.590841032553616e-05,5.122619916095792e-05,4.26359769555733e-05,3.582924866874016e-05,5.1113136388184184e-05,0.02664613306262285,0.02152538848088726,0.03195178476591148,0.00029973034215765546,0.00027035168654348905,0.0003273483255863098,3.8783921499171726e-05,2.7924649827692713e-05,5.491006897886329e-05,2.9518384439794236e-05,2.3364576375619414e-05,3.553653825196251e-05,0.0008221375743839113,0.0006208257913399531,0.001020969005780485,0.00014362551949240944,5.060226628274629e-05,0.0003060623551859998
D,Ours,complex,8,33,0.0013682412937862064,0.0011254290315484855,0.0016830230393900289,0.00029974078003733393,0.0002444684670659957,0.00036594467827385255,0.03346458766840695,0.02739877858964215,0.03989201621586182,0.005848837088251457,0.004882358913186057,0.0068670697508478595,0.0003134401224749374,0.00022673204314494137,0.00044577324039864555,0.0002404452851320374,0.00019497171156867773,0.0002867586820422409,0.006341809625596259,0.005659754647146628,0.007012500682013165,0.0051651073224616775,0.001872019785823244,0.01167389696294604
D,Ours,complex,16,33,0.004922087145545943,0.004003325585191223,0.006137309925874103,0.0005673335611142895,0.0004530500210614374,0.0007137570748124164,0.046570386386045465,0.039374635518230776,0.05338503331888313,0.020021440291946583,0.016117720222665055,0.023697409532597344,0.0006303944330394381,0.00045718593144997475,0.0008919967551429925,0.000498034616501889,0.0004114069142264215,0.0005860300117285188,0.012809652087250442,0.011080011388526835,0.014921739236028356,0.019131024678548176,0.006686612150885842,0.041096230709191515
D,Ours,complex,32,33,0.018645909755970493,0.014361428618642756,0.025434076817085344,0.001131870413012097,0.0008191454315127692,0.0016253646620691252,0.08456797974898406,0.06513333522339838,0.11375437271516946,0.07836872855709358,0.06280951676325816,0.09556327726847182,0.001369426096613152,0.0009153421570248831,0.002109994787624049,0.0013151464637220752,0.0008987766164147725,0.002022218487102443,0.02846578951699264,0.023737199576994914,0.033814201673323455,0.06219965400117816,0.02244614407871709,0.13021609286467234
D,Ours,complex,100,33,0.12434183964223573,0.09375568368669712,0.17164104917848652,0.0017871690056794746,0.0013465887602774962,0.0024709210285932797,0.3042754687908937,0.24221276920705515,0.3728383417919878,0.46366558946443326,0.4032688762936177,0.5249601190175973,0.002443417110374536,0.001751798709367656,0.003540850960747444,0.0024173308779471413,0.0017285613821127989,0.0035262903070939814,0.11908874886505531,0.09781900162554599,0.14743437800330642,0.24557622635003293,0.06944309590440809,0.5631043342026795
D,Ours,quiet,1,34,2.6669642011256656e-05,2.1148436294826003e-05,3.460277997847322e-05,2.6669899398257257e-05,2.127031952086862e-05,3.500022028019349e-05,0.02111281726723701,0.01674039800170778,0.026180458907115355,0.00023356751634818305,0.00021475288506548276,0.00025146392657488296,2.4306256925817306e-05,1.495963985442305e-05,3.989866746812421e-05,1.6593430073228053e-05,1.3167903183726704e-05,2.0289719059791573e-05,0.00042098166541644093,0.000279518703925586,0.0005706249814766926,8.905985776115867e-05,1.0522586457869587e-05,0.00023384024115169746
D,Ours,quiet,8,34,0.000781447829093154,0.000576797699346464,0.0011044879098977508,0.00017040303196956622,0.0001231551211945129,0.0002424902477929101,0.024244635955855576,0.019459174970675865,0.029127056314590276,0.0030128955083776367,0.0024902733621000634,0.003547928374561091,0.0001904474852113601,0.0001159547171643199,0.0003097394970957204,0.00012836966161156691,0.00010104498551751315,0.00015940912488106814,0.0042001607054022744,0.003710597754808773,0.0047543253740193045,0.0031316736165214985,0.00030510679763906144,0.008446136379943174
